order_date,region,product,quantity,amount,order_id
2025-01-01,West,Sprocket,11,1000.38,1000
2025-01-02,East,Gizmo,19,223.61,1001
2025-01-02,South,Cog,36,242.99,1002
2025-01-03,East,Gadget,27,1493.56,1003
2025-01-03,South,Gizmo,4,50.75,1004
2025-01-03,North,Cog,25,182.08,1005
2025-01-03,East,Gadget,1,54.73,1006
2025-01-04,West,Gizmo,28,331.26,1007
2025-01-04,East,Gadget,14,706.6,1008
2025-01-04,East,Cog,30,186.54,1009
2025-01-04,West,Cog,24,154.67,1010
2025-01-05,West,Gadget,8,393.84,1011
2025-01-05,West,Widget,24,661.4,1012
2025-01-05,South,Cog,36,241.31,1013
2025-01-05,South,Gizmo,36,485.11,1014
2025-01-06,North,Gadget,7,345.24,1015
2025-01-06,West,Sprocket,18,1605.82,1016
2025-01-06,East,Widget,3,78.66,1017
2025-01-06,West,Gadget,13,763.91,1018
2025-01-07,West,Gadget,33,1950.15,1019
2025-01-07,West,Gadget,25,1469.52,1020
2025-01-07,South,Sprocket,8,677.44,1021
2025-01-08,South,Gadget,17,959.72,1022
2025-01-08,South,Cog,6,42.88,1023
2025-01-09,North,Gadget,20,1127.86,1024
2025-01-09,West,Cog,22,158.6,1025
2025-01-09,South,Cog,4,28.17,1026
2025-01-09,North,Cog,7,49.56,1027
2025-01-10,South,Sprocket,11,995.74,1028
2025-01-10,North,Sprocket,5,460.21,1029
2025-01-11,East,Cog,8,55.74,1030
2025-01-11,North,Gizmo,10,136.2,1031
2025-01-11,East,Widget,6,163.97,1032
2025-01-11,South,Sprocket,23,1925.9,1033
2025-01-12,East,Gadget,34,1846.8,1034
2025-01-12,West,Sprocket,39,3463.68,1035
2025-01-12,East,Gizmo,3,35.17,1036
2025-01-12,East,Widget,27,809.95,1037
2025-01-13,West,Gizmo,36,466.23,1038
2025-01-13,West,Gizmo,8,105.35,1039
2025-01-13,North,Gizmo,32,392.74,1040
2025-01-13,North,Gadget,25,1460.69,1041
2025-01-14,North,Cog,23,142.2,1042
2025-01-14,East,Widget,12,308.52,1043
2025-01-14,South,Sprocket,36,2888.49,1044
2025-01-14,South,Cog,31,216.99,1045
2025-01-15,East,Cog,12,86.05,1046
2025-01-15,South,Gizmo,19,251.28,1047
2025-01-15,South,Sprocket,21,1773.92,1048
2025-01-16,West,Sprocket,25,2110.48,1049
2025-01-16,West,Gadget,14,717.26,1050
